species name,specimen index
Quercus hintoni,T2739
Quercus mohriana,T2679
Quercus cortesii,T2648
Quercus conzattii,T2731
Quercus salicina,T0128
Quercus pontica,U1081
Quercus ccpeyensis,T2620
Quercus diversifolia,T2709
Quercus haas,T2319
Quercus furfracea,T2670
Quercus virgiliana,T2481
Quercus poilanei,T2635
Quercus rugosa,U1461
Quercus vicentensis,T2750
Quercus longistyla,T2470
Quercus palustris,T1252
Quercus falcata,T2373
Quercus ramsbottomii,T2nnn
Quercus franchetii,T2625
Quercus grahami,T2649
Quercus mytrifolia,T2472
Quercus harvardii,T2392
Quercus mexicana,T2677
Quercus palustris,U0409
Quercus mongolica var.,U1096
Quercus semiserrata,T2639
Quercus segoviensis,T2695
Quercus aristata,T2706
Quercus suber,T1254
Quercus texana,T2388
Quercus lobata,T0116
Quercus lusitanica,U1106
Quercus variabilis,U0524
Quercus oxyodon,T2475
Quercus baloot,T2615
Quercus pontica,T1868
Quercus deprssipes,T2665
Quercus championi,T2372
Quercus iberica,T2395
Quercus peduncularis,T2715
Quercus dumosa,U1394
Quercus pachyloma,T2476
Quercus radiata,T2745
Quercus sagreana,T2692
Quercus germana,T2737
Quercus phillyraeoides,T0124
Quercus sebifera,T2694
Quercus sundarica,T2642
Quercus cocciferoides,T2754
Quercus hondai,T0127
Quercus geminata,T2377
Quercus oglethorpensis,T2474
Quercus canariensis,T0398
Quercus rugosa,T2438
Quercus blakei,T2454
Quercus kingiana,T2629
Quercus arizonica,T2436
Quercus eduardi,T2669
Prunus jamasakura,T0782
Prunus maackii,T1294
Prunus pendula,T1404
Prunus yedoensis,T0432
Prunus besseyi,U0871
Prunus verecunda,T0722
Prunus ssiori,T0875
Prunus ceracifera,T0790
Prunus spinulosa,T0106
Prunus dippeliana,T0430
Prunus nipponica var.,T0494
Prunus maximowiczii,T0732
Prunus mume,T1338
Prunus pilosiuscula,T1293
Prunus japonica,T1464
Prunus besseyi,T1296
Prunus salicina,T0525
Prunus serotina,U0331
Prunus buergeriana,U0886
Prunus munsoniana,T1356
Prunus donaricum var.,T0721
Prunus pauciflora,T1426
Prunus serotina,T0723
Prunus itosakura,U0380
Prunus lannesiana,U0377
Prunus campanulata,T0748
Prunus mahaleb,T1292
Prunus davidiana,T0429
Prunus conradinae,T1306
Prunus sargentii,T0503
Morella cerifera,U0644
